"_id","_index","_score","_type",aggType,appId,appName,beginDate,endDate,frequency,"source.errcode","source.errmsg","source.list","source.ref_date"
egqH4W0BuyEw7tbzSKOb,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 18th 2019, 08:00:00.000","October 18th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":36,""value"":1},{""key"":29,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":36,""value"":1},{""key"":29,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":1},{""key"":6,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":2},{""key"":1,""value"":1}]}]",20191018
DAlg3G0BuyEw7tbz7UK7,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 17th 2019, 08:00:00.000","October 17th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":4,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":3,""value"":1},{""key"":1,""value"":1}]}]",20191017
wQc6120BuyEw7tbzkdbv,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 16th 2019, 08:00:00.000","October 16th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":36,""value"":1},{""key"":23,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":36,""value"":1},{""key"":23,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":6,""value"":1},{""key"":4,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":4,""value"":1},{""key"":2,""value"":2}]}]",20191016
3QYU0m0BuyEw7tbzNmxl,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 15th 2019, 08:00:00.000","October 15th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":4},{""key"":2,""value"":2},{""key"":1,""value"":6}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":2},{""key"":2,""value"":1},{""key"":1,""value"":3}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":2},{""key"":5,""value"":4},{""key"":4,""value"":1},{""key"":3,""value"":2},{""key"":2,""value"":3}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":2},{""key"":3,""value"":3},{""key"":2,""value"":5},{""key"":1,""value"":2}]}]",20191015
"FyztzG0BIw_XuURM28Qp","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 14th 2019, 08:00:00.000","October 14th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":23,""value"":1},{""key"":18,""value"":2},{""key"":2,""value"":3}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":23,""value"":1},{""key"":18,""value"":2},{""key"":2,""value"":2}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":1},{""key"":7,""value"":2},{""key"":5,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":2}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":2},{""key"":4,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":1,""value"":2}]}]",20191014
tTXHx20Br6tb5kJthGW2,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 13th 2019, 08:00:00.000","October 13th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":3,""value"":2},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":3,""value"":2},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":6,""value"":1},{""key"":3,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":1,""value"":3}]}]",20191013
"_SGhwm0Br6tb5kJtIdyP","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 12th 2019, 08:00:00.000","October 12th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":3},{""key"":16,""value"":1},{""key"":2,""value"":2},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":2},{""key"":16,""value"":1},{""key"":2,""value"":2},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":2},{""key"":7,""value"":1},{""key"":6,""value"":1},{""key"":5,""value"":1},{""key"":4,""value"":2}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":1},{""key"":4,""value"":2},{""key"":3,""value"":3},{""key"":2,""value"":1}]}]",20191012
"YCh6vW0BIw_XuURM038x","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 11th 2019, 08:00:00.000","October 11th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":6},{""key"":4,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":4,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":2},{""key"":7,""value"":2},{""key"":6,""value"":1},{""key"":4,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":1},{""key"":5,""value"":1},{""key"":3,""value"":1},{""key"":1,""value"":4}]}]",20191011
"cidUuG0BIw_XuURMbR3j","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 10th 2019, 08:00:00.000","October 10th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":2},{""key"":18,""value"":2},{""key"":3,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":18,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":1},{""key"":6,""value"":2},{""key"":4,""value"":1},{""key"":3,""value"":2}]},{""index"":""access_depth_info"",""item_list"":[{""key"":4,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":1,""value"":3}]}]",20191010
cugus20Br6tb5kJtDxc1,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 9th 2019, 08:00:00.000","October 9th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":3,""value"":2},{""key"":2,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":3,""value"":2},{""key"":2,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":5,""value"":2},{""key"":3,""value"":3}]},{""index"":""access_depth_info"",""item_list"":[{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":1,""value"":3}]}]",20191009
wNUHrm0Br6tb5kJttw3R,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 8th 2019, 08:00:00.000","October 8th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":23,""value"":2},{""key"":18,""value"":11},{""key"":3,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":23,""value"":1},{""key"":18,""value"":5},{""key"":3,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":5},{""key"":7,""value"":3},{""key"":4,""value"":2},{""key"":3,""value"":1},{""key"":2,""value"":2},{""key"":1,""value"":2}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":6},{""key"":4,""value"":2},{""key"":2,""value"":1},{""key"":1,""value"":6}]}]",20191008
